"Individuo","IEP","OP","SC","EdP","ÉpP","AP","DA"
"10",330,"1","Hembra",1125,"Sequía","2003",46
"10",424,"2","Macho",1455,"Sequía","2004",140
"10",437,"3","Macho",1879,"Sequía","2005",153
"10",322,"4","Hembra",2316,"Transición","2006",38
"10",341,"5","Macho",2638,"Transición","2007",57
"10",346,"6","Macho",2979,"Sequía","2008",62
"10",356,"7","Hembra",3325,"Sequía","2009",72
"1004",376,"1","Macho",1134,"Sequía","2004",92
"1004",446,"2","Hembra",1510,"Sequía","2005",162
"1004",322,"3","Macho",1956,"Transición","2006",38
"1004",356,"4","Macho",2278,"Transición","2007",72
"1004",336,"5","Hembra",2634,"Transición","2008",52
"1004",359,"6","Hembra",2970,"Sequía","2009",75
"1004",379,"7","Macho",3329,"Sequía","2010",95
"1004",457,"8","Macho",3708,"Sequía","2011",173
"10044",431,"1","Macho",1156,"Transición","2013",147
"10048",424,"1","Macho",1459,"Sequía","2014",140
"10064",526,"1","Hembra",1776,"Sequía","2015",242
"1008",411,"1","Hembra",1064,"Transición","2003",127
"1008",477,"2","Hembra",1475,"Sequía","2005",193
"1008",358,"4","Macho",2967,"Sequía","2009",74
"1010",433,"1","Hembra",1067,"Sequía","2004",149
"1010",448,"2","Hembra",1500,"Sequía","2005",164
"1010",405,"3","Macho",1948,"Transición","2006",121
"10108",350,"1","Hembra",1540,"Transición","2014",66
"10116",425,"1","Macho",1150,"Transición","2013",141
"10116",360,"3","Macho",2241,"Transición","2016",76
"1012",439,"1","Macho",1119,"Sequía","2004",155
"10126",392,"2","Hembra",2204,"Sequía","2016",108
"1014",419,"1","Macho",1129,"Sequía","2004",135
"1014",422,"2","Macho",1548,"Transición","2005",138
"1014",333,"3","Macho",1970,"Transición","2006",49
"1014",335,"4","Hembra",2303,"Transición","2007",51
"1014",353,"5","Macho",2638,"Transición","2008",69
"10142",332,"2","Macho",2168,"Sequía","2016",48
"10144",394,"1","Macho",1503,"Sequía","2014",110
"10148",350,"1","Hembra",1159,"Transición","2013",66
"1016",440,"1","Hembra",1132,"Sequía","2004",156
"10220",378,"2","Macho",2150,"Sequía","2016",94
"1042",410,"1","Macho",1113,"Sequía","2004",126
"1042",421,"2","Hembra",1523,"Transición","2005",137
