manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater
ford,mustang,4,2008,6,manual(m5),r,17,26,r,subcompact
ford,expedition 2wd,4.6,1999,8,auto(l4),r,11,17,r,suv
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
toyota,corolla,1.8,1999,4,auto(l4),f,24,33,r,compact
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact
dodge,durango 4wd,5.9,1999,8,auto(l4),4,11,15,r,suv
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
toyota,4runner 4wd,4,2008,6,auto(l5),4,16,20,r,suv
ford,mustang,4.6,1999,8,manual(m5),r,15,22,r,subcompact
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
