mODEl,CTY,Hwy,DRV,TRANS,ClasS
explorer 4wd,15,19,4,manual(m5),suv
corvette,16,26,r,manual(m6),2seater
expedition 2wd,11,17,r,auto(l4),suv
civic,26,34,f,manual(m5),subcompact
a6 quattro,17,25,4,auto(s6),midsize
gti,21,29,f,manual(m6),compact
pathfinder 4wd,12,18,4,auto(s5),suv
impreza awd,19,26,4,manual(m5),subcompact
altima,19,26,f,auto(av),midsize
dakota pickup 4wd,15,19,4,manual(m6),pickup
gti,19,26,f,auto(l4),compact
mustang,14,20,r,manual(m6),subcompact
tiburon,19,26,f,auto(l4),subcompact
caravan 2wd,16,23,f,auto(l6),minivan
c1500 suburban 2wd,13,17,r,auto(l4),suv
camry solara,21,27,f,auto(l4),compact
a4 quattro,20,28,4,manual(m6),compact
mountaineer 4wd,14,17,4,auto(l5),suv
camry,21,29,f,manual(m5),midsize
jetta,17,24,f,manual(m5),compact
