yEAr,DRv,DisPl,hWy,MOdEl,fL,TrANs,cLASs
2008,4,4,19,mountaineer 4wd,r,auto(l5),suv
2008,f,2,31,a4,p,manual(m6),compact
1999,f,2.2,27,camry,r,auto(l4),midsize
1999,f,2,26,jetta,r,auto(l4),compact
1999,f,2,26,gti,r,auto(l4),compact
2008,f,3.8,28,grand prix,r,auto(l4),midsize
1999,4,2.7,20,toyota tacoma 4wd,r,manual(m5),pickup
1999,4,6.5,17,k1500 tahoe 4wd,d,auto(l4),suv
2008,4,4.4,18,range rover,r,auto(s6),suv
1999,4,4,17,mountaineer 4wd,r,auto(l5),suv
2008,4,3.7,18,dakota pickup 4wd,r,auto(l4),pickup
1999,f,2.5,26,sonata,r,auto(l4),midsize
1999,4,4,15,range rover,p,auto(l4),suv
1999,f,3,25,maxima,r,manual(m5),midsize
1999,4,4.6,16,f150 pickup 4wd,r,auto(l4),pickup
1999,f,2.4,27,malibu,r,auto(l4),midsize
1999,f,2,29,new beetle,r,manual(m5),subcompact
2008,r,6.2,25,corvette,p,auto(s6),2seater
2008,f,3.6,26,passat,p,auto(s6),midsize
1999,f,2.8,26,passat,p,manual(m5),midsize
