traNs,hwy,fL,MANuFaCturER,yEaR,ClaSS,cTy,moDeL,Cyl
manual(m5),25,p,subaru,2008,suv,19,forester awd,4
auto(l5),25,p,audi,1999,compact,16,a4 quattro,4
manual(m5),16,r,dodge,1999,pickup,11,ram 1500 pickup 4wd,8
auto(l4),21,r,dodge,1999,minivan,15,caravan 2wd,6
auto(l5),25,p,audi,1999,compact,15,a4 quattro,6
manual(m5),26,p,volkswagen,1999,midsize,18,passat,6
auto(l5),17,r,dodge,2008,pickup,13,ram 1500 pickup 4wd,8
auto(l4),26,r,subaru,1999,subcompact,21,impreza awd,4
auto(av),25,p,nissan,2008,midsize,19,maxima,6
auto(s6),26,r,chevrolet,2008,midsize,17,malibu,6
manual(m5),35,r,toyota,1999,compact,26,corolla,4
auto(l4),26,r,toyota,1999,midsize,18,camry,6
manual(m5),32,r,honda,1999,subcompact,25,civic,4
auto(l4),22,r,dodge,1999,minivan,16,caravan 2wd,6
auto(l4),17,r,ford,2008,pickup,13,f150 pickup 4wd,8
auto(s6),28,r,toyota,2008,midsize,19,camry,6
auto(l4),17,r,lincoln,1999,suv,11,navigator 2wd,8
auto(l5),24,p,audi,1999,midsize,15,a6 quattro,6
auto(l4),24,r,subaru,1999,suv,18,forester awd,4
auto(l4),17,e,dodge,2008,minivan,11,caravan 2wd,6
