hWY,DRV,YEAR,cyl,CTY,DiSpL,TRAnS
24,f,1999,6,17,3,auto(l4)
24,4,1999,4,18,2.5,auto(l4)
17,4,1999,8,13,5,auto(l4)
28,f,2008,6,18,3.8,auto(l4)
18,4,2008,8,12,4.2,auto(s6)
23,f,2008,6,16,3.8,auto(l6)
26,f,1999,4,19,2,auto(l4)
24,f,1999,6,17,2.8,manual(m5)
24,r,2008,6,16,4,auto(l5)
26,r,2008,8,16,6.2,manual(m6)
44,f,1999,4,33,1.9,manual(m5)
15,4,1999,8,11,4.6,auto(l4)
16,4,1999,8,13,4.6,manual(m5)
17,4,1999,6,14,4,auto(l5)
17,4,2008,8,14,4.7,auto(l5)
17,4,1999,6,15,3.4,manual(m5)
17,4,2008,8,13,4.7,auto(l5)
14,4,2008,8,11,5.3,auto(l4)
20,4,1999,6,15,4,auto(l4)
26,4,1999,4,18,1.8,manual(m5)
